Astro ID,TIC ID,Sector,Centroid Distance (arcsec),PRF Fit Quality,Optim Method
726,255921197,76,1.2144749692499324,0.9973523760396213,L-BFGS-B
726,255921197,77,1.9273747281609623,0.9928151740768015,L-BFGS-B
726,255921197,78,1.402597880312252,0.9981282108592208,L-BFGS-B
726,255921197,79,2.6003746362874773,0.9927942057960831,L-BFGS-B
727,255994336,15,4.048727126872992,0.9651224619163289,L-BFGS-B
727,255994336,18,5.783226991244981,0.993569072083243,L-BFGS-B
727,255994336,22,2.893333982213493,0.924840853152864,L-BFGS-B
727,255994336,24,0.5471260447010562,0.997283435478288,L-BFGS-B
727,255994336,25,2.1914726246862886,0.9938100450085066,L-BFGS-B
727,255994336,52,2.5828104625294217,0.9887067598877795,L-BFGS-B
727,255994336,57,1.7076955015172395,0.9975361168885679,L-BFGS-B
727,255994336,58,1.6769799899505322,0.9925804061668335,L-BFGS-B
727,255994336,59,0.8029395177021371,0.9888039177974033,L-BFGS-B
727,255994336,76,0.5600749005119848,0.9799067873600851,L-BFGS-B
727,255994336,77,2.7882316986906406,0.8886914361950835,L-BFGS-B
727,255994336,79,2.7367224418058442,0.969014480776129,L-BFGS-B
728,256193124,14,1.4392900923821155,0.9980812884269842,L-BFGS-B
728,256193124,15,2.189386065057032,0.9869800920274552,L-BFGS-B
728,256193124,16,2.6172912232361414,0.9641874146377803,L-BFGS-B
728,256193124,41,1.63766492058361,0.995161264059141,L-BFGS-B
728,256193124,55,1.124910779880109,0.9984411219576115,L-BFGS-B
728,256193124,56,0.33631027782713996,0.9862383632952206,L-BFGS-B
728,256193124,75,1.9880673146813757,0.9946150946166444,L-BFGS-B
728,256193124,76,0.853962019584964,0.9928563660969602,L-BFGS-B
729,256299194,14,68.7608478198918,0.970545710643116,L-BFGS-B
729,256299194,15,67.40321203744814,0.9160809547983985,L-BFGS-B
729,256299194,17,69.94993719212549,0.9641720325752573,L-BFGS-B
729,256299194,18,67.81432093465276,0.9529695637540307,L-BFGS-B
729,256299194,20,69.39824404951496,0.9789547140027238,L-BFGS-B
729,256299194,23,68.83425415824198,0.9152699108294657,L-BFGS-B
729,256299194,26,69.87002469467969,0.9417043975008352,L-BFGS-B
729,256299194,41,69.85875042211853,0.9849077535729895,L-BFGS-B
729,256299194,47,69.0356244629728,0.9869720553142609,L-BFGS-B
729,256299194,48,68.395962349396,0.8072695459426757,L-BFGS-B
729,256299194,50,71.86915527118332,0.9450244759316475,L-BFGS-B
729,256299194,51,60.54565705977621,0.22158689808826348,L-BFGS-B
729,256299194,53,69.76460377921838,0.9842308375257517,L-BFGS-B
729,256299194,54,69.15705301121268,0.8454555782753334,L-BFGS-B
729,256299194,56,67.95350705376164,0.9522131511423082,L-BFGS-B
729,256299194,57,12.096754874218504,0.4216315442903134,Nelder-Mead
729,256299194,59,69.65156167606341,0.939726227221137,L-BFGS-B
729,256299194,60,67.40065928613645,0.975670966183002,L-BFGS-B
729,256299194,75,67.97229571927073,0.8862857149484011,Nelder-Mead
729,256299194,78,68.57702979010621,0.9326035179351572,L-BFGS-B
