,TIC ID,SMass,SRad,Tmag,planetno,Epoc,Per,Depth,Dur,SRadEst,Astro ID,CentroidDistanceArcSec
108,10432496,2.29,4.40333,9.5994,6,1794.6085395922316,2.645730161058924,681.1291069314544,0.6660990878470209,,1043249606.0,3.667226253309862
109,10706353,,4.31874,9.27247,3,1793.4575651835896,2.5348343933436626,323.9555500135372,0.2408926637192399,,1070635303.0,14.067404195541416
110,10710992,,,6.8201,3,1794.878912566667,3.7581722670259192,427.69982539491866,0.1023722081796154,,1071099203.0,4.986707768861996
111,10788791,1.255,1.45672,9.94732,2,1792.6294383063782,8.211885646779965,763.7338843539519,0.159820881632183,,1078879102.0,33.992669723011474
112,10792081,1.058,1.0147,10.0223,1,1799.7990558583997,10.169223927475723,852.4763000877164,0.3059779783838527,,1079208101.0,15.59162078359481
113,10792081,1.058,1.0147,10.0223,4,1792.5204723961526,10.169002036773936,485.1743574477408,0.2187099082293302,,1079208104.0,22.371290532994422
114,10972126,1.569,1.93997,9.56916,4,1792.7791050074616,0.9421928582279808,1207.300505078542,0.1468366968383528,,1097212604.0,4.551195195915651
115,10976802,,7.8429,9.5959,3,1792.8317839401575,2.1102868309777247,169.39762603464558,0.3920937872171482,,1097680203.0,25.019425108255362
116,11066567,1.025,2.34129,9.49488,5,1793.1700628360736,1.4539783494320149,21862.53065307836,0.1928749147968191,,1106656705.0,3.4082216986324703
117,11244460,0.85,0.80462,10.239,2,1816.0688851736784,30.899891106884283,24027.55107031966,0.1068986271684235,,1124446002.0,
118,11253638,,11.5228,10.1953,1,1792.4581994199273,2.4191694428298347,639.0704772173499,0.1291261596303832,,1125363801.0,23.837826255722874
119,11338076,2.08,2.92571,10.3116,1,1793.79322230738,1.963120736622629,3142.1237223871444,0.245574880758751,,1133807601.0,50.37562394118174
120,11338076,2.08,2.92571,10.3116,2,1792.774499886956,1.963188445480313,1116.8118609809503,0.2403521912954923,,1133807602.0,162.27310647601237
121,11338076,2.08,2.92571,10.3116,4,1793.233334071206,1.9632278953509077,1026.0539862599285,0.7390278642131936,,1133807604.0,
122,11996334,,3.90909,9.09481,1,1792.3078883150963,2.0867350798189497,2918.924119880003,0.1752516227299606,,1199633401.0,81.48327877964616
123,12000064,,6.7596,9.5444,1,1794.2173283506977,2.549922918185961,439.3447315083741,0.2032688262764391,,1200006401.0,78.67506668155508
124,12102235,2.145,2.4919,10.0357,4,1792.557124852504,0.9052376324204504,1328.8272783737143,0.1095074468073215,,1210223504.0,36.076782914056395
125,12102235,2.145,2.4919,10.0357,5,1792.769903829383,0.9047719855558056,944.1828035519526,0.110870166737186,,1210223505.0,35.11439815678713
126,12225909,1.272,1.47193,8.19685,1,1792.1097411635844,1.3527654566365683,175.85799014250247,0.1400546211125242,,1222590901.0,12.698713693433895
127,12326312,1.019,1.9147,10.4378,2,1795.171542189878,6.331848318145175,198.3249064274239,0.6035192239967818,,1232631202.0,16.43881203466115
128,12399811,1.98,3.66521,10.45,1,1792.2128006125072,3.156377068197988,3314.932344354552,0.1157299137196146,,1239981101.0,40.69822562440454
129,12399811,1.98,3.66521,10.45,2,1793.8389272039126,3.156237962811891,692.3643792152275,0.2126546309872343,,1239981102.0,16.40292310689188
130,12483531,0.9,0.850286,10.35,2,1793.2452467032554,1.2888300180705463,981.6123460521542,0.2568845336224725,,1248353102.0,41.20848690340176
131,12551354,1.253,1.69178,9.99722,1,1792.374404752329,6.345483862581939,7431.585527785451,0.1676603816555849,,1255135401.0,59.94972549703907
132,12551354,1.253,1.69178,9.99722,2,1792.3799409911485,3.172717915583926,2282.029820990403,0.1642586675579017,,1255135402.0,17.194771572387936
133,12648197,,,9.7922,1,1796.6470389074852,5.431343140113753,8000.015473157416,0.2869710186475702,,1264819701.0,40.13413506408416
134,12648197,,,9.7922,2,1793.92639307996,2.719605233703396,2643.3172342230587,0.2844728772040978,,1264819702.0,34.60416915563688
135,12733613,,12.2631,10.2422,1,1792.8333764699994,0.9213031259012676,636.4701472110671,0.2102116649023218,,1273361301.0,87.04803748424655
136,12735173,,,9.9602,1,1793.1243431076075,1.4053859305251868,89316.11783729139,0.2220168232231567,,1273517301.0,6.129988745306465
137,12735173,,,9.9602,2,1792.4212489767292,1.4053859305251868,22921.984058432103,0.1984510887933869,,1273517302.0,9.17392228257624
138,12740559,2.31,3.60402,10.1533,3,1793.674442948913,1.8694443197639936,349.1107716735579,0.308580611102646,,1274055903.0,4.736641993726301
139,12899319,1.218,1.38841,9.03885,1,1792.1557435967725,1.1668630354127287,151.7089355568218,0.2280125809476842,,1289931901.0,18.612399800340466
140,12981401,1.912,2.26543,9.96819,6,1792.382090917575,0.8661472449248332,823.5181854862582,0.1144282850800406,,1298140106.0,22.79575311219097
141,13078321,1.505,1.5596,8.9698,2,1792.5084161300292,0.5647997075683914,3075.088633976125,0.4273099620594668,,1307832102.0,
